date,description,amount
2026-03-08,PAGAMENTO SALARIO REF070,250.75
2026-03-09,PET PLANET BANHO E TOSA REF071,-177.90
2026-03-10,DROGASIL FARMACIA REF072,-214.50
2026-03-11,CONDOMINIO EDIFICIO SOL REF073,-251.99
2026-03-12,UDEMY CURSO JAVA REF074,-288.35
2026-03-13,SEGURO CARTAO REF075,-325.75
2026-03-14,AMAZON COMPRA ELETRONICOS REF076,-362.20
2026-03-15,MICROSOFT 365 REF077,-399.45
2026-03-16,CLUBE DE CORRIDA REF078,-436.90
2026-03-17,PIX RECEBIDO CLIENTE REF079,5200.00
2026-03-18,MERCADO BOA COMPRA REF080,-25.99
2026-03-19,PET PLANET BANHO E TOSA REF081,-62.35
2026-03-20,ENEL ENERGIA REF082,-99.75
2026-03-21,ALURA ASSINATURA REF083,-136.20
2026-03-22,RESTAURANTE CENTRAL REF084,-173.45
2026-03-23,ASSINATURA NEWSLETTER TECH REF085,-210.90
2026-03-24,CONSULTORIA CONTABIL LIMA PARCELA 2 REF086,-247.50
2026-03-25,MERCADO LIVRE COMPRA REF087,-284.99
2026-03-26,TARIFA BANCARIA PACOTE REF088,-321.35
2026-03-27,CARREFOUR SUPERMARKET REF089,-358.75
2026-03-28,YOUTUBE PREMIUM REF090,-395.20
2026-03-29,PET PLANET BANHO E TOSA REF091,-432.45
2026-03-30,COWORKING VILA MADALENA REF092,-469.90
2026-03-31,PADARIA BELA MANHA REF093,-21.50
2026-03-01,DROGASIL FARMACIA REF094,-58.99
2026-03-02,CONDOMINIO EDIFICIO SOL REF095,-95.35
2026-03-03,CONSULTORIA CONTABIL LIMA REF096,-132.75
2026-03-04,SEGURO CARTAO REF097,-169.20
2026-03-05,TAXI APP CENTRO REF098,-206.45
2026-03-06,PIX JOAO ALMOCO DIVIDIDO REF099,-243.90
2026-03-07,AMAZON MARKETPLACE REF100,-280.50
2026-03-08,GOOGLE ONE STORAGE REF101,-317.99
2026-03-09,MERCADO BOA COMPRA REF102,-354.35
2026-03-10,DROGA RAIA PARCELA 1 REF103,-391.75
2026-03-11,ENEL ENERGIA REF104,-428.20
2026-03-12,ALURA ASSINATURA REF105,-465.45
2026-03-13,CONSULTORIA CONTABIL LIMA REF106,-17.90
2026-03-14,POSTO SHELL REF107,-54.50
2026-03-15,ALUGUEL MARCO REF108,-91.99
2026-03-16,MERCADO LIVRE COMPRA REF109,-128.35
2026-03-17,TARIFA BANCARIA PACOTE REF110,-165.75
2026-03-18,PET PLANET BANHO E TOSA REF111,-202.20
2026-03-19,YOUTUBE PREMIUM REF112,-239.45
2026-03-20,BARBEARIA NAVALHA FINA REF113,-276.90
2026-03-21,PAGAMENTO SALARIO REF114,5200.00
2026-03-22,PADARIA BELA MANHA REF115,-350.99
2026-03-23,CONSULTORIA CONTABIL LIMA REF116,-387.35
2026-03-24,CONDOMINIO EDIFICIO SOL REF117,-424.75
2026-03-25,UDEMY CURSO JAVA REF118,-461.20
2026-03-26,SEGURO CARTAO REF119,-13.45
2026-03-27,REPARO NOTEBOOK TECNICO PARCELA 6 REF120,-50.90
2026-03-28,PET PLANET BANHO E TOSA REF121,-87.50
2026-03-29,AMAZON MARKETPLACE REF122,-124.99
2026-03-30,PIX RECEBIDO CLIENTE REF123,145.90
2026-03-31,MERCADO BOA COMPRA REF124,-198.75
2026-03-01,DROGA RAIA REF125,-235.20
2026-03-02,GOOGLE PLAY APP REF126,-272.45
2026-03-03,PETSHOP MUNDO PET REF127,-309.90
2026-03-04,RESTAURANTE CENTRAL REF128,-346.50
2026-03-05,POSTO SHELL REF129,-383.99
2026-03-06,ALUGUEL MARCO REF130,-420.35
2026-03-07,PET PLANET BANHO E TOSA REF131,-457.75
2026-03-08,TARIFA BANCARIA PACOTE REF132,-494.20
2026-03-09,CARREFOUR SUPERMARKET REF133,-46.45
2026-03-10,MUSEU ARTE MODERNA REF134,-83.90
2026-03-11,SABESP AGUA REF135,-120.50
2026-03-12,CONSULTORIA CONTABIL LIMA REF136,-157.99
2026-03-13,PADARIA BELA MANHA PARCELA 5 REF137,-194.35
2026-03-14,DROGASIL FARMACIA REF138,-231.75
2026-03-15,CONDOMINIO EDIFICIO SOL REF139,-268.20
2026-03-16,UDEMY CURSO JAVA REF140,-305.45
2026-03-17,PET PLANET BANHO E TOSA REF141,-342.90
2026-03-18,TAXI APP CENTRO REF142,-379.50
2026-03-19,MICROSOFT 365 REF143,-416.99
2026-03-20,AMAZON MARKETPLACE REF144,-453.35
2026-03-21,PIX RECEBIDO CLIENTE REF145,75.50
2026-03-22,CONSULTORIA CONTABIL LIMA REF146,-42.20
2026-03-23,DROGA RAIA REF147,-79.45
2026-03-24,CLUBE DE CORRIDA REF148,-116.90
2026-03-25,ALURA ASSINATURA REF149,-153.50
2026-03-26,RESTAURANTE CENTRAL REF150,-190.99
2026-03-27,MAX STREAMING REF151,-227.35
2026-03-28,ALUGUEL MARCO REF152,-264.75
2026-03-29,MERCADO LIVRE COMPRA REF153,-301.20
2026-03-30,TARIFA BANCARIA PACOTE PARCELA 4 REF154,-338.45
2026-03-31,ASSINATURA NEWSLETTER TECH REF155,-375.90
2026-03-01,CONSULTORIA CONTABIL LIMA REF156,-412.50
2026-03-02,SABESP AGUA REF157,-449.99
2026-03-03,PAGAMENTO SALARIO REF158,145.90
2026-03-04,PADARIA BELA MANHA REF159,-38.75
2026-03-05,DROGASIL FARMACIA REF160,-75.20
2026-03-06,PET PLANET BANHO E TOSA REF161,-112.45
2026-03-07,COWORKING VILA MADALENA REF162,-149.90
2026-03-08,SEGURO CARTAO REF163,-186.50
2026-03-09,TAXI APP CENTRO REF164,-223.99
2026-03-10,MICROSOFT 365 REF165,-260.35
2026-03-11,CONSULTORIA CONTABIL LIMA REF166,-297.75
2026-03-12,PIX RECEBIDO CLIENTE REF167,1200.00
2026-03-13,MERCADO BOA COMPRA REF168,-371.45
2026-03-14,PIX JOAO ALMOCO DIVIDIDO REF169,-408.90
2026-03-15,ENEL ENERGIA REF170,-445.50
2026-03-16,PET PLANET BANHO E TOSA PARCELA 3 REF171,-482.99
2026-03-17,RESTAURANTE CENTRAL REF172,-34.35
2026-03-18,POSTO SHELL REF173,-71.75
2026-03-19,ALUGUEL MARCO REF174,-108.20
2026-03-20,MERCADO LIVRE COMPRA REF175,-145.45
2026-03-21,HBO MAX REF176,-182.90
2026-03-22,CARREFOUR SUPERMARKET REF177,-219.50
2026-03-23,YOUTUBE PREMIUM REF178,-256.99
2026-03-24,SABESP AGUA REF179,-293.35
2026-03-25,PAGAMENTO SALARIO REF180,75.50
2026-03-26,PET PLANET BANHO E TOSA REF181,-367.20
2026-03-27,DROGASIL FARMACIA REF182,-404.45
2026-03-28,BARBEARIA NAVALHA FINA REF183,-441.90
2026-03-29,UDEMY CURSO JAVA REF184,-478.50
2026-03-30,SEGURO CARTAO REF185,-30.99
2026-03-31,CONSULTORIA CONTABIL LIMA REF186,-67.35
2026-03-01,MICROSOFT 365 REF187,-104.75
2026-03-02,AMAZON MARKETPLACE PARCELA 2 REF188,-141.20
2026-03-03,PIX RECEBIDO CLIENTE REF189,250.75
2026-03-04,REPARO NOTEBOOK TECNICO REF190,-215.90
2026-03-05,PET PLANET BANHO E TOSA REF191,-252.50
2026-03-06,ENEL ENERGIA REF192,-289.99
2026-03-07,ALURA ASSINATURA REF193,-326.35
2026-03-08,RESTAURANTE CENTRAL REF194,-363.75
2026-03-09,POSTO SHELL REF195,-400.20
2026-03-10,CONSULTORIA CONTABIL LIMA REF196,-437.45
2026-03-11,PETSHOP MUNDO PET REF197,-474.90
2026-03-12,TARIFA BANCARIA PACOTE REF198,-26.50
2026-03-13,CARREFOUR SUPERMARKET REF199,-63.99
2026-03-14,YOUTUBE PREMIUM REF200,-100.35
2026-03-15,AMAZON PRIME VIDEO REF201,-137.75
2026-03-16,PAGAMENTO SALARIO REF202,1200.00
2026-03-17,PADARIA BELA MANHA REF203,-211.45
2026-03-18,MUSEU ARTE MODERNA REF204,-248.90
2026-03-19,CONDOMINIO EDIFICIO SOL PARCELA 1 REF205,-285.50
2026-03-20,CONSULTORIA CONTABIL LIMA REF206,-322.99
2026-03-21,SEGURO CARTAO REF207,-359.35
2026-03-22,TAXI APP CENTRO REF208,-396.75
2026-03-23,MICROSOFT 365 REF209,-433.20
2026-03-24,AMAZON MARKETPLACE REF210,-470.45
2026-03-25,PET PLANET BANHO E TOSA REF211,-22.90
2026-03-26,MERCADO BOA COMPRA REF212,-59.50
2026-03-27,DROGA RAIA REF213,-96.99
2026-03-28,ENEL ENERGIA REF214,-133.35
2026-03-29,ALURA ASSINATURA REF215,-170.75
2026-03-30,CONSULTORIA CONTABIL LIMA REF216,-207.20
2026-03-31,POSTO SHELL REF217,-244.45
2026-03-01,CLUBE DE CORRIDA REF218,-281.90
2026-03-02,MERCADO LIVRE COMPRA REF219,-318.50
2026-03-03,TARIFA BANCARIA PACOTE REF220,-355.99
2026-03-04,PET PLANET BANHO E TOSA REF221,-392.35
2026-03-05,YOUTUBE PREMIUM PARCELA 6 REF222,-429.75
2026-03-06,SABESP AGUA REF223,-466.20
2026-03-07,PAGAMENTO SALARIO REF224,250.75
2026-03-08,ASSINATURA NEWSLETTER TECH REF225,-55.90
2026-03-09,AMAZON PRIME MEMBERSHIP REF226,-92.50
2026-03-10,CONDOMINIO EDIFICIO SOL REF227,-129.99
2026-03-11,UDEMY CURSO JAVA REF228,-166.35
2026-03-12,SEGURO CARTAO REF229,-203.75
2026-03-13,TAXI APP CENTRO REF230,-240.20
2026-03-14,PET PLANET BANHO E TOSA REF231,-277.45
2026-03-15,COWORKING VILA MADALENA REF232,-314.90
2026-03-16,PIX RECEBIDO CLIENTE REF233,5200.00
2026-03-17,MERCADO BOA COMPRA REF234,-388.99
2026-03-18,DROGA RAIA REF235,-425.35
2026-03-19,CONSULTORIA CONTABIL LIMA REF236,-462.75
2026-03-20,ALURA ASSINATURA REF237,-14.20
2026-03-21,RESTAURANTE CENTRAL REF238,-51.45
2026-03-22,PIX JOAO ALMOCO DIVIDIDO PARCELA 5 REF239,-88.90
2026-03-23,ALUGUEL MARCO REF240,-125.50
2026-03-24,PET PLANET BANHO E TOSA REF241,-162.99
2026-03-25,TARIFA BANCARIA PACOTE REF242,-199.35
2026-03-26,CARREFOUR SUPERMARKET REF243,-236.75
2026-03-27,YOUTUBE PREMIUM REF244,-273.20
2026-03-28,SABESP AGUA REF245,-310.45
2026-03-29,CONSULTORIA CONTABIL LIMA REF246,-347.90
2026-03-30,PADARIA BELA MANHA REF247,-384.50
2026-03-31,DROGASIL FARMACIA REF248,-421.99
2026-03-01,CONDOMINIO EDIFICIO SOL REF249,-458.35
2026-03-02,UDEMY CURSO JAVA REF250,-495.75
